State,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
US,0,145025450,66769990,53700420,21722220,80992600,287692220,97957080,9085078279,144508430,9218461445,120001110,6303276607,47831960,111370731,27934800,256489955,25420950,200835811,22020510,27811915,23342210,309555008,22690110,604338742,13200730,230308309,27120440,604905788,1899760,11446740,70529321,17495460,221888250,8323620,535203164,36509860,133189744,3751350,948541,936130,20871677,3963260,26097106,2538990,11376414,10665090,10659944,2097930,4763019,627740,10922412,45792280,1259383237,33476810,282723244,10611770,16371257,39192810,172495925,45453350,484986029,34416710,327781408,37490960,198552435,108894770,6394098925,108002290,1260809000,4246690,32865460,44454260,66925849,7138150,19191236,6243060,3367301,9966360,10477850,6879010,1180482,22822060,27579392,2322010,1276952,18543390,48458244,136439620,1492264569,27788100,64221884,24310450,56411814,20388790,27329926,9785660,8708632,96290800,1193887913,105396110,1249910771,24981640,126877835,111719240,316194283
US,1,2248050,1381410,674380,101280,1510430,3346940,641240,-200411687,1731180,-197664227,623690,19998700,813000,5459617,595330,4450089,538530,3025452,70030,254735,732980,-8670567,815430,12426232,158780,2762207,245520,3087046,136030,47090,331806,4020,26794,422970,-40096211,529370,2600255,8850,2105,3930,65759,136110,726924,12360,56977,81220,95990,92630,324570,10150,254281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9450,199206,8060,196213,7060,16291,210,241,70,52,810,1042,1050,977,2550,3363,140,936,302710,646470,976310,5815329,238170,264886,156450,179134,105410,162175,162630,153359,7620,183747,353560,917473,199020,392634,821130,3300803
US,2,22638580,18078240,1850490,2408590,11166520,23004000,5663120,119219659,22638430,123494887,16703600,92959155,3765660,2250044,2188060,2931189,1933730,1737845,210180,116382,3645380,15588114,1729580,-411376,919790,3427362,2023660,9140816,120540,1112900,4078411,50230,213807,306780,-481844,4005250,4275243,40360,8627,7130,32323,252320,881477,44660,129486,413730,368656,386780,1116781,11790,18454,927680,14561330,223690,361283,529660,333991,648010,2162522,874970,3118469,476110,3656663,527460,642534,2715490,4489370,2515760,454800,2010,8837,167070,11560,90980,3444,280,63,48040,5910,10170,414,1840,416,650,120,3165050,2296031,19028420,19147333,7489170,9084019,6531690,7812506,2566190,1741148,1228180,1051932,2445380,443336,5765430,2838488,2078630,958695,17741420,17129110
US,3,34059840,18978550,5772170,8714590,18632790,61847430,23501240,582485261,34059840,592337251,27176310,438883955,5737990,5324945,2998940,7980132,2645130,5140885,801760,436745,5433990,45904783,2199030,1116496,2143760,14072379,4966660,51682631,232840,3596880,22007333,2071030,3601881,597530,1418253,6869490,9851985,221120,49857,23280,123666,474180,1882703,224760,658721,1574300,1435907,302330,705092,25630,49424,2942600,44732657,1142710,1379315,1488340,1161683,2087190,6200203,2857550,9582691,1589850,11143769,1971880,3997673,21747950,138375338,21367200,14632138,8900,17632,7000620,2525839,303380,26844,480870,164834,2211180,1232966,2103020,341813,2202380,721897,93680,20889,4599610,6848613,31872380,98225886,12752730,41334302,11579120,37031555,10368220,14288824,2412350,2032375,16788410,12106667,20498610,19211377,3098420,2841311,29705290,81905190
US,4,33965310,16169080,9978030,6847880,18453940,68387910,24554380,1226186333,33965310,1242450558,29536330,991539925,8591750,8115040,4313880,12201578,3842010,7972926,3388560,2051271,4219500,36763616,3237960,3666566,2692340,25213945,6121480,101326758,361910,3033430,19881490,5236760,33281838,1022410,6431205,7727350,16263496,762140,181262,56360,426918,675690,3224647,627620,2239043,3274810,3367528,312890,661118,56280,136952,8016650,125131279,5066840,9416728,2503240,2771268,6110640,17036413,7907280,30917033,5349390,36750067,5850480,14089611,32494620,632218827,32275060,77777928,8910,32529,13763180,12237365,894790,191266,1596770,918032,2899190,2871895,3862120,690298,8005140,7351385,438510,142080,3075670,6424943,33118850,141716356,7300010,13538440,6037390,11388450,6364680,9796933,2111520,1806326,26306430,65540918,27698800,72744070,4672560,6952460,28656640,75150250
US,5,19113420,6794810,9679050,2173730,10958450,42409720,13631700,1175834134,19113420,1190204911,16615420,911470386,7853130,8196051,4125280,13702117,3711430,9107361,4559870,3472667,2870030,28641597,3146950,5998761,2247310,28905782,4746000,110855851,320780,1614180,10323008,3808260,54397187,1015130,9886410,5689530,14370593,797290,197457,71150,684370,523360,2891802,534000,2266024,2378860,2264134,335890,667184,66610,192054,8663510,158543984,6426210,19306346,1941510,2718836,7341760,22718724,8618460,46577266,6581460,50120208,6881930,19080355,19000360,758862014,18942770,107561495,33750,58520,8047300,11880034,1019230,289103,1122430,602459,1760480,2168982,902640,146979,5349120,8323225,504330,199623,2083860,5038427,18811120,135096091,8030,236,5810,170,855470,1156016,1313450,1194713,18040930,95681783,18306510,101665644,4150070,8960069,14480150,41187793
US,6,12138470,2669520,8480570,791590,7059580,30321390,9707610,1050206935,12138470,1062105520,10681560,802552766,6342840,7301932,3550970,13341650,3229300,9210074,4226230,3834271,2063550,24975239,2737710,7757683,1738570,29982525,3427220,99480185,247750,945840,6176890,2562320,47898567,920960,12215925,3788230,11898625,679440,178674,79820,905199,397190,2444231,401170,1873493,1359020,1518374,133040,253120,66440,217905,7519480,159586525,5966940,25540695,1365110,2331508,6669550,23634087,7497650,53252620,6046000,52717451,6294810,19851248,12106260,730885331,12078970,109154403,79350,134717,5636190,9469942,952780,345801,978900,542613,1362390,1755803,0,0,3800380,6427799,423800,200715,1523720,4299541,11999600,127976969,0,0,0,0,103490,146817,987600,924896,11953860,99686275,12000640,105037372,2932860,8386610,8828820,30158199
US,7,15587490,2113860,12756470,558940,9286820,42962970,14625610,2091248402,15587490,2118006033,14027140,1593612822,10206360,15468487,6510150,34201531,6030740,24973255,6955160,8335105,3043030,61930314,5313640,30138620,2396560,62871544,4414960,166381093,328540,937520,6498603,2878440,60985285,2009840,51391530,5762170,26757081,1081410,289848,274430,4442570,755060,5684329,564720,3007046,1583170,1609354,534360,1035153,155250,762359,12706290,344632242,10490960,74509018,1988980,4370573,11689790,54912502,12688120,137392640,10545510,110185634,11305520,45110012,15563760,1561197904,15545170,276366731,651360,1509847,7400810,10640278,2053110,1486138,1592970,882318,1684270,2441252,0,0,3458680,4749488,668220,422321,2372690,9423654,15432410,298326530,0,0,0,0,25290,37976,1569940,1545031,15493750,265727260,15515150,277319314,5232200,25282885,9648610,41902355
US,8,4181040,457410,3586420,99680,2964180,12163520,4398680,1190975341,4181040,1213870933,3723280,809690305,3478140,13059363,2736050,34954893,2603990,27172628,1478500,3370382,1037170,58501620,2574260,55033614,705220,33763133,980180,49760453,110580,143920,1100642,692280,16504224,1328940,108094549,1557990,22895441,149910,38069,282600,7873980,497010,5064533,99400,864266,0,0,0,0,125860,1352854,3955750,181335931,3280640,55662504,625100,1943554,3655450,28703418,3951190,88102189,3110880,47634420,3652790,26983944,4175070,962408596,4175640,236662927,2830750,17130711,1745340,4447410,1233070,3507213,410620,220634,0,0,0,0,1960,1819,163910,178183,1023540,7244685,4122560,230665064,0,0,0,0,20,38,0,0,4165550,232215684,4167970,240694745,2092710,29797906,1584580,12349722
US,9,700970,78860,597230,16550,599860,2099810,802360,474618768,700970,484491294,595690,257953277,659620,7461150,567540,20840364,547230,16676257,174360,1035706,190330,20879603,575950,48111097,122690,10141862,124880,6982610,24580,11400,94242,117270,2964936,406750,92029753,352730,9872519,8550,2085,86830,3651765,149750,1866690,19590,181660,0,0,0,0,51050,1256770,677060,61869081,559040,24087527,110490,394104,631510,8211547,675820,33748695,484610,10033716,639210,11468422,699740,404018483,700350,117289434,497810,6828374,407120,3511890,343380,3057875,45550,26916,0,0,0,0,0,0,20160,49719,243460,2710505,690180,111134475,0,0,0,0,0,0,0,0,698160,113777545,698500,116714871,364890,14903158,166850,3514726
