st,naics,lfo,rcptot_size,estab_f,estab,rcptot_n_f,rcptot_f,rcptot
0,0,-,1,,22491080,G,,989628512
0,0,-,111,,5492587,G,,0
0,0,-,118,,3795785,G,,0
0,0,-,119,,5689588,G,,0
0,0,-,121,,3029809,G,,0
0,0,-,122,,2151075,G,,0
0,0,-,123,,1609507,G,,0
0,0,-,125,,484479,G,,0
0,0,-,131,,209415,G,,0
0,0,-,133,,26744,G,,0
0,0,-,141,,1723,G,,0
0,0,-,1411,,368,G,,0
0,0,C,1,,1442732,G,,155282991
0,0,S,1,,19438914,G,,615425823
0,0,P,1,,1609434,G,,218919698
0,11,-,1,,237942,G,,10258802
0,11,-,111,,57308,G,,0
0,11,-,118,,39830,G,,0
0,11,-,119,,55286,G,,0
0,11,-,121,,34786,G,,0
0,11,-,122,,24791,G,,0
0,11,-,123,,18717,G,,0
0,11,-,125,,5458,G,,0
0,11,-,131,,1617,G,,0
0,11,-,133,,149,G,,0
0,11,-,141,,0,G,,0
0,11,-,1411,,0,G,,0
0,11,C,1,,11392,G,,1378983
0,11,S,1,,218604,G,,7941934
0,11,P,1,,7946,G,,937885
0,113,-,1,,45599,G,,2388350
0,113,-,111,,8001,G,,0
0,113,-,118,,6281,G,,0
0,113,-,119,,11037,G,,0
0,113,-,121,,7648,G,,0
0,113,-,122,,5760,G,,0
0,113,-,123,,5096,G,,0
0,113,-,125,,1553,G,,0
0,113,-,131,,223,G,,0
0,113,-,133,,0,G,,0
0,113,-,141,,0,G,,0
0,113,-,1411,,0,G,,0
0,113,C,1,,1989,G,,231243
0,113,S,1,,41583,G,,1888865
0,113,P,1,,2027,G,,268242
0,114,-,1,,80464,G,,3719646
0,114,-,111,,18103,G,,0
0,114,-,118,,13038,G,,0
0,114,-,119,,17996,G,,0
0,114,-,121,,12953,G,,0
0,114,-,122,,9106,G,,0
0,114,-,123,,6671,G,,0
0,114,-,125,,1778,G,,0
0,114,-,131,,752,G,,0
0,114,-,133,,67,G,,0
0,114,-,141,,0,G,,0
0,114,-,1411,,0,G,,0
0,114,C,1,,4731,G,,614750
0,114,S,1,,73519,G,,2905403
0,114,P,1,,2214,G,,199493
0,1141,-,1,,67722,G,,3358844
0,1141,-,111,,13823,G,,0
0,1141,-,118,,10645,G,,0
0,1141,-,119,,15297,G,,0
0,1141,-,121,,11404,G,,0
0,1141,-,122,,8082,G,,0
0,1141,-,123,,6069,G,,0
0,1141,-,125,,1618,G,,0
0,1141,-,131,,718,G,,0
0,1141,-,133,,66,G,,0
0,1141,-,141,,0,G,,0
0,1141,-,1411,,0,G,,0
